"Subject","ASAL–DDMN","ASAL–VDMN","ASAL–LCEN","ASAL–RCEN","PSAL–DDMN","PSAL–VDMN","PSAL–LCEN","PSAL–RCEN","arousal_state"
"vcon02_scan01",0.107142857142857,0.0555555555555556,0.351190476190476,0.295634920634921,0,0,0.30952380952381,0.319444444444444,"alert"
"vcon07_scan01",0.0317460317460317,0,0.0119047619047619,0.0119047619047619,0,0,0,0,"alert"
"vcon15_scan01",0.0178571428571429,0.00793650793650794,0,0,0.0178571428571429,0,0,0,"alert"
"vcon15_scan02",0.00992063492063492,0.00992063492063492,0.00198412698412698,0.0376984126984127,0,0,0,0.0793650793650794,"alert"
"vcon17_scan02",0.0178571428571429,0,0,0.0753968253968254,0,0.0456349206349206,0.117063492063492,0.0793650793650794,"alert"
"vcon19_scan02",0.0416666666666667,0.0277777777777778,0,0.123015873015873,0,0,0.0396825396825397,0.162698412698413,"alert"
"vcon20_scan01",0.234126984126984,0,0.0535714285714286,0.0416666666666667,0.0297619047619048,0,0,0,"alert"
"vcon20_scan02",0.19047619047619,0,0.166666666666667,0,0,0,0.0178571428571429,0.0773809523809524,"alert"
"vcon29_scan01",0,0.0317460317460317,0.240079365079365,0.41468253968254,0,0,0.283730158730159,0.537698412698413,"alert"
"vcon29_scan02",0.00595238095238095,0.0297619047619048,0.321428571428571,0.343253968253968,0,0,0.31547619047619,0.325396825396825,"alert"
"vcon05_scan01",0,0,0.428571428571429,0.83531746031746,0,0,0.428571428571429,0.83531746031746,"drowsy"
"vcon09_scan01",0.621031746031746,0.321428571428571,0.148809523809524,0.150793650793651,0.369047619047619,0.146825396825397,0.21031746031746,0.347222222222222,"drowsy"
"vcon09_scan02",0.23015873015873,0.19047619047619,0.00793650793650794,0.0853174603174603,0.121031746031746,0.0932539682539683,0.232142857142857,0.321428571428571,"drowsy"
"vcon12_scan01",0.388888888888889,0,0.148809523809524,0.267857142857143,0,0.0992063492063492,0,0.0277777777777778,"drowsy"
"vcon14_scan01",0.484126984126984,0.0337301587301587,0.23015873015873,0.23015873015873,0.490079365079365,0,0.196428571428571,0.196428571428571,"drowsy"
"vcon22_scan01",0,0,0,0.0357142857142857,0,0,0,0,"drowsy"
"vcon23_scan01",0.18452380952381,0,0.220238095238095,0.5,0.130952380952381,0,0.196428571428571,0.450396825396825,"drowsy"
"vcon24_scan01",0.208333333333333,0,0.123015873015873,0.123015873015873,0.236111111111111,0.0436507936507936,0.0972222222222222,0.0972222222222222,"drowsy"
"vcon25_scan02",0.386904761904762,0.0793650793650794,0.48015873015873,0.571428571428571,0.00992063492063492,0.134920634920635,0.0198412698412698,0.0396825396825397,"drowsy"
"vcon32_scan01",0.396825396825397,0.00595238095238095,0,0.0892857142857143,0.365079365079365,0.00595238095238095,0.0456349206349206,0.0992063492063492,"drowsy"
"vcon36_scan01",0.48015873015873,0,0.452380952380952,0.452380952380952,0,0.244047619047619,0.0634920634920635,0.103174603174603,"drowsy"
"vcon37_scan01",0.253968253968254,0.198412698412698,0.406746031746032,0.619047619047619,0.295634920634921,0.349206349206349,0.400793650793651,0.700396825396825,"drowsy"
